,NER_tp_in_ground,NER_tp_in_model,NER_fp,NER_fn,MedCond_tp,MedCond_fp,MedCond_fn,MedEff_tp,MedEff_fp,MedEff_fn
0,citrullus colocynthis l,citrullus colocynthis,,macrotermes bellicosus,citrullus colocynthis_nerve originated pain,corydalis hendersonii hemsl_high blood pressure,citrullus colocynthis l_peripheral neuropathy,citrullus colocynthis_hypoglycemic,senecio candicans dc_free radical scavenging,m. bellicosus_spasmolytic
1,citrullus colocynthis,corydalis hendersonii hemsl,,m. bellicosus,citrullus colocynthis_diabetic neuropathy,senecio candicans dc_peptic ulcer,citrullus colocynthis l_diabetic rats,citrullus colocynthis_antioxidant,cantharellus cibarius_antioxidant,m. bellicosus_relaxation of basal tone
2,c. colocynthis,senecio candicans dc,,chios mastic,corydalis hendersonii hemsl_acute myocardial ischemia,cantharellus cibarius_cancer,citrullus colocynthis_peripheral neuropathy,corydalis hendersonii hemsl_anti-inflammatory,cantharellus cibarius_cytotoxic,m. bellicosus_antimicrobial
3,corydalis hendersonii hemsl,crepis dioscoridis l,,crepis l,corydalis hendersonii hemsl_vasculitis,cantharellus cinereus_cancer,citrullus colocynthis_diabetic rats,senecio candicans dc_antioxidant,cantharellus cibarius_antiproliferative,m. bellicosus_suppression of induced contractions
4,senecio candicans dc,crepis commutata,,phytosia crocifolia (boiss. & heldr.) kamari & greuter,corydalis hendersonii hemsl_high altitude polycythemia,craterellus cornucopioides_cancer,c. colocynthis_oxidative stress,senecio candicans dc_gastroprotective,cantharellus cinereus_antioxidant,m. bellicosus_anti-spasmodic
5,s. candicans,crepis incana sm,,,senecio candicans dc_gastric ulcer,hydnum repandum_cancer,macrotermes bellicosus_inflammatory diseases,crepis dioscoridis l_antioxidant,cantharellus cinereus_cytotoxic,m. bellicosus_anti-inflammatory
6,crepis,crepis heldreichiana,,,,,macrotermes bellicosus_dysentery,crepis dioscoridis l_anti-inflammatory,cantharellus cinereus_antiproliferative,corydalis hendersonii hemsl_anti-acute myocardial ischemia
7,c. dioscoridis l,crepis crocifolia boiss. & heldr,,,,,macrotermes bellicosus_diarrhea,crepis commutata_antioxidant,craterellus cornucopioides_antioxidant,corydalis hendersonii hemsl_lowering blood pressure
8,c commutata (spreng.) greuter,cantharellus cibarius,,,,,macrotermes bellicosus_infectious,crepis commutata_anti-inflammatory,craterellus cornucopioides_cytotoxic,cantharellus cibarius_cytotoxicity
9,c. incana sm,cantharellus cinereus,,,,,chios mastic_arterial hypertension,crepis incana sm_antioxidant,craterellus cornucopioides_antiproliferative,cantharellus cibarius_induced apoptotic cell death
10,c. heldreichiana (kuntze) greuter,craterellus cornucopioides,,,,,,crepis incana sm_anti-inflammatory,hydnum repandum_antioxidant,cantharellus cinereus_cytotoxicity
11,c. crocifolia boiss. & heldr,hydnum repandum,,,,,,crepis heldreichiana_antioxidant,hydnum repandum_cytotoxic,cantharellus cinereus_induced apoptotic cell death
12,cantharellus cibarius,,,,,,,crepis heldreichiana_anti-inflammatory,hydnum repandum_antiproliferative,craterellus cornucopioides_cytotoxicity
13,cantharellus cinereus,,,,,,,crepis crocifolia boiss. & heldr_antioxidant,,craterellus cornucopioides_induced apoptotic cell death
14,craterellus cornucopioides,,,,,,,crepis crocifolia boiss. & heldr_anti-inflammatory,,hydnum repandum_cytotoxicity
15,hydnum repandum,,,,,,,,,hydnum repandum_induced apoptotic cell death
16,,,,,,,,,,chios mastic_improves blood pressure haemodynamics
