,ground truth,model output
0,ginko biloba_good for the brain,ginkgo biloba_good for the brain
1,taxus hrevifolia_antineoplastic,taxus brevifolia_antineoplastic
2,valeriana officinalis_tranquilizer,valeriana officinalis_tranquilizing
3,ricinus communis_irrigates intestine,ricinus communis_irrigates intestines
4,mandragora officinarum_aphrodisiacs,mandragora officinarum_aphrodisiac
5,berberis darwinii hook_antipyrectic,berberis darwinii hook_antipyretic
6,ajuga laxmanniiin_anti-inflammatory,ajuga laxmannii_anti-inflammatory
7,chamaecrista moench_laxatives,chamaecrista moench_laxative
8,senna mill_laxatives,senna mill_laxative
9,cassia l_laxatives,cassia l_laxative
10,roas sp_reduces spots,rosa sp_reduces spots
11,roas sp_skin cleanser,rosa sp_skin cleanser
12,zingiber montanum koen_cytotoxicity,zingiber montanum koen_cytotoxic
13,vitus vinifera_blood purifier,vitis vinifera_blood purifier
14,citrullus colocynth_anti-cancer,citrullus colocynthis_anti-cancer
15,boswellia serrate roxb. ex colebr_anti-inflammatory,boswellia serrata roxb. ex colebr_anti-inflammatory
16,hydrastis canadensis_antiinflamatory,hydrastis canadensis_anti-inflammatory
17,lavandulaangustifolia_antidepressant-like,lavandula angustifolia_antidepressant
18,cantharellus cibarius_cytotoxicity,cantharellus cibarius_cytotoxic
19,cantharellus cinereus_cytotoxicity,cantharellus cinereus_cytotoxic
20,craterellus cornucopioides_cytotoxicity,craterellus cornucopioides_cytotoxic
21,hydnum repandum_cytotoxicity,hydnum repandum_cytotoxic
22,boswellia_anti-infl ammatories,boswellia_anti-inflammatory
23,rumex hydrolapathum_diaphoretic,rumex hydrolapathum_diuretic
