,ground truth,model output
0,hypericum perforatum_herpessimplex virus,hypericum perforatum_herpes simplex virus 1 & 2
1,berberis vulgaris l_healinternal injuries,berberis vulgaris l_internal injuries
2,mahonia fortunei (lindl. )fedde_treattesticular swelling,mahonia fortunei (lindl. )fedde_testicular swelling
3,argemone platyceras l_respiratory ailment,argemone platyceras l_respiratory ailments
4,bocconia frutescens l_bronchistis,bocconia frutescens l_bronchitis
5,"corydalis turtschaninoviibesser_gastric,duodenal ulcer",corydalis turtschaninovii besser_duodenal ulcer
6,coptis chinensis franch_diarrhoea,coptis chinensis franch_diarrhea
7,terminalia chebula_diarrhoea,terminalia chebula_diarrhea
8,papaver somniferum_diarrhoea,papaver somniferum_diarrhea
9,petrselinum crispum_bruises,petroselinum crispum_bruises
10,matricaria recuitita_bunions,matricaria recutita_bunions
11,citrullus colocynth_diabetes,citrullus colocynthis_diabetes
12,gentiana officinalis_hypothyroidis,gentiana officinalis_hypothyroidism
13,hypericum perforatum_hypothyroidis,hypericum perforatum_hypothyroidism
14,brassica nigra_hypothyroidis,brassica nigra_hypothyroidism
15,sinapis alba_hypothyroidis,sinapis alba_hypothyroidism
16,raphanus sativus_hypothyroidis,raphanus sativus_hypothyroidism
17,juglans spp_hypothyroidis,juglans spp_hypothyroidism
18,angelica chinense_menstrual cramps,angelica chinensis_menstrual cramps
19,physostigma vene-nosum_alzheimer's disease,physostigma venenosum_alzheimer's disease
20,physostigma vene-nosum_glaucoma,physostigma venenosum_glaucoma
21,physostigma vene-nosum_chronic constipation,physostigma venenosum_chronic constipation
22,anthemis nobilis_inflammations,anthemis nobilis_inflammation
23,scrophularia ningpoensis hemsl_conjunctivits,scrophularia ningpoensis hemsl_conjunctivitis
24,centaurea ragusina l_cancer,centaurium ragusina l_cancer
25,morinda citrifolia_diarrhoea,morinda citrifolia l_diarrhea
26,chelidonium majusl_skin protuberances,chelidonium majus_skin protuberances
27,chelidonium majusl_gastrointestinal disorders,chelidonium majus_gastrointestinal disorders
28,chelidonium majusl_warts,chelidonium majus_warts
29,chelidonium majusl_infections,chelidonium majus_infections
