,ground truth,model output
0,claviceps purpurea_stimulate the smooth muscle ofthe uterus,claviceps purpurea_stimulate smooth muscle of the uterus
1,valeriana officinalis_tranquilizer,valeriana officinalis_tranquilizing
2,ricinus communis_irrigates intestine,ricinus communis_irrigates intestines
3,mandragora officinarum_aphrodisiacs,mandragora officinarum_aphrodisiac
4,phellodendron amurenserupr_antiinflammator,phellodendron amurense rupr_antiinflammatory
5,ajuga laxmanniiin_anti-inflammatory,ajuga laxmannii_anti-inflammatory
6,vitus vinifera_blood purifier,vitis vinifera_blood purifier
7,pistaci vera_general health,pistacia vera_general health
8,citrullus colocynth_anti-cancer,citrullus colocynthis_anti-cancer
9,boswellia serrate roxb. ex colebr_anti-inflammatory,boswellia serrata roxb. ex colebr_anti-inflammatory
10,angelica archangelica_diuresis,angelica archangelica_diuretic
11,hydrastis canadensis_antiinflamatory,hydrastis canadensis_anti-inflammatory
12,berheris fremontii_anti-microbial,berberis fremontii_anti-microbial
13,viburnumopulusl_hemostatic,viburnum opulus l_haemostatic
14,lavandulaangustifolia_antidepressant-like,lavandula angustifolia_antidepressant
15,syringa vulgaris l_pro-inflammatory,syringa vulgaris l_anti-inflammatory
16,cantharellus cibarius_cytotoxicity,cantharellus cibarius_cytotoxic
17,cantharellus cinereus_cytotoxicity,cantharellus cinereus_cytotoxic
18,craterellus cornucopioides_cytotoxicity,craterellus cornucopioides_cytotoxic
19,hydnum repandum_cytotoxicity,hydnum repandum_cytotoxic
20,brassica nigra_stimulating,brassica nigra_stimulant
21,boswellia_anti-infl ammatories,boswellia_anti-inflammatory
22,rumex hydrolapathum_diaphoretic,rumex hydrolapathum_diuretic
