,ground truth,model output
0,c. creticus subsp. eriocephalus_cold symptoms,cistus creticus l. subsp. eriocephalus_cold symptoms
1,hypericum perforatum_herpessimplex virus,hypericum perforatum_herpes simplex virus 1 & 2
2,berberis vulgaris l_healinternal injuries,berberis vulgaris l_internal injuries
3,mahonia fortunei (lindl. )fedde_treattesticular swelling,mahonia fortunei (lindl.) fedde_testicular swelling
4,bocconia frutescens l_bronchistis,bocconia frutescens l_bronchitis
5,"corydalis turtschaninoviibesser_gastric,duodenal ulcer",corydalis turtschaninovii besser_duodenal ulcer
6,coptis chinensis franch_fevers,coptis chinensis franch_high fever
7,"coptis chinensis franch_mouth, tongueulcers",coptis chinensis franch_mouth ulcers
8,physostigma vene-nosum_chronic constipation,physostigma venenosum_chronic constipation
9,physostigma vene-nosum_glaucoma,physostigma venenosum_glaucoma
10,physostigma vene-nosum_alzheimer's disease,physostigma venenosum_alzheimer's disease
11,anthemis nobilis_inflammations,anthemis nobilis_inflammation
12,aloe vera_tooth aches,aloe vera_tooth ache
13,scrophularia ningpoensis hemsl_conjunctivits,scrophularia ningpoensis hemsl_conjunctivitis
14,morinda citrifolia_diarrhoea,morinda citrifolia l_diarrhea
15,matricaria pubescens (desf.) schultz_toothaches,matricaria pubescens (desf.) schultz_toothache
16,matricaria pubescens (desf.) schultz_coughs,matricaria pubescens (desf.) schultz_cough
