name_type,non_sci_name
LP,Becium obovatum (E.Mey. ex Benth.) N.E.Br.
LP,Cryptantha sericea (Gray) Payson
LP,Fritillaria cirrhosa D.Don
LP,Dinochloa scandens Kuntze
LP,Euphorbia semivillosa Proch.
LP,Rabdosia rubescens (Hemsl.)
LP,Chiranthodendron pentadactylon Larreat.
LP,Cephaelis tomentosa (Aubl.) Vahl.
LP,Cyperus laevigatus L.
LP,Liriosma ovata Miers
LP,Printzia pyrifolia Less.
LP,Osmorhiza occidentalis (Nutt. ex Torr. & Gray) Torr.
LP,Eriachne obtusa R.Br.
LP,Macaranga bancana Muell. Arg.
LP,Barringtonia macrostachya Kurz.
LP,Hypselodelphys scandens
LP,Plagiostyles africana Prain
LP,Euphorbia espinosa Pax
LP,Lagynias lasiantha (Sond.) Bullock
LP,Pluchea lanceolata (DC.) Oliv. & Hiern
LP,Streptocaulon juventas Merrill
LP,Isodon sculponeatus (Vaniot) Kudo
LP,Eucalyptus macrorhyncha
LP,Herreria montevidensis Smith
LP,Pterocarpus rotundifolius (Sond.) Druce
LP,Phlox pilosa L.
LP,Poupartia borbonica J.F. Gmel.
LP,Jambosa rubricaulis Miq.
LP,Sagittaria sagittifolia L. ssp. leucopetala (Miq.) Hartog
LP,Cardiopteris lobata
LP,Crassocephalum x picridifolium (DC.) S.Moore
LP,Alstonia iwahigensis
LP,Anagallis arvensis L.
LP,Ugni molinae Turcz
LP,Tarenna borbonica (E. G. & A. Henderson) Verdc.
LP,Euphorbia laeta B.Heyne ex Roth
LP,Calamus rivalis
LP,Curucuma mangga
LP,Antidesma venosum E.Mey.
LP,Cypripedium calceolus L.
LP,Rumex romassa J. Rémy
LP,Copaifera multijuga Hayne
LP,Avicennia officinalis
LP,Agropyron repens (L.) P. Beauv.
LP,Phyllostachys nigra var. henonis
LP,Alpinia oxyphylla Miq.
LP,Heteropogon triticeus (R.Br.) Stapf
LP,Coffea robusta Lindley
LP,Pinus canariensis C. Sm.
LP,Guapira laxiflora (Choisy) Lundell
LP,Gaertnera cooperi
LP,Phaseolus hispidulus
LP,Hydnocarpus kurzii (King) Warb.
LP,Manihot esculenta Crantz
LP,Aloe kraussii Baker
LP,Elettariopsis sumatrana Val.
LP,Fritillaria ussuriensis Maxim.
LP,Cyathula prostrata (L.) Blume
LP,Drymophloeus saxatilis Mart.
LP,Ipomoea stlonifera
LP,Heliotropium angiospermum Murray
LP,Asparagus exuvialis Burch.
LP,Dioscorea cochleari-apiculatus De Wild.
LP,Aster falcatus var. commutatus (Torr. & Gray) A.G. Jones
LP,Euphorbia prostrata
LP,Schumanniophyton magnificum Harms var. magnificum Hallé
LP,Microgramma lycopodioides (L.) Copel.
LP,Bolusanthus speciosus (Bolus) Harms
LP,Polyscias fruticosa (L.) Harms
LP,Aralia ballouriana
LP,Sarcolobus globosus Wallich
LP,Platycladus orientalis (L.) Franco
LP,Chlorogalum pomeridianum (DC.) Kunth
LP,Sideroxylon spinosum L.
LP,Vallaris pergularia
LP,Fraxinus chinensis subsp. rhynchophylla (Hance) A.e. Murray
LP,Aristolochia trilobata L.
LP,Andropogon odoratus Dna.Lisboa
LP,Gonystylus macrophyllus Miquel
LP,Chilocarpus denudatus
LP,Agrimonia repens L.
LP,Euphorbia balsamifera subsp. adenensis (Defl.) Bally
LP,Amischotolype hispida (Less. & Rich.) Hong
LP,Maprounea membranacea Pax & K.Hoffm.
LP,Drosera anglica
LP,Norantea brasiliensis Choisy
LP,Quercus acutissima Carr.
LP,Arisaema erubescens (Will.) Schott
LP,"Senecio ovatus (Gaertn., Mey. & Scherb.) Willd."
LP,Leonotis mollissima Guerke
LP,Pisonia sylvestris T & B
LP,Smilax aspera
LP,Oxyanthus speciosus
LP,Pennisetum purpureum Schumacher & Thonn.
LP,Hypoxis rooperi Moore
LP,Cassia didymobotrya Fresen.
LP,Potentilla argentea L.
LP,Michelia longifolia Bl.
LP,Etlingera rosea
LP,Indigofera hirsuta L.
LP,Thavetia perviana
LP,Epidendrum tenuifolium L.
LP,Acalypha integrifolia Willd.
LP,Evolvulus holosericeus H.B.K.
LP,Ipomoea littoralis
LP,Ficus caballina Standl.
LP,Cynometra cauliflora L.
LP,Distephanus anisochaetoides (Sond) H.Rob. & B.Kahn
LP,Leucas lanata Benth.
LP,Operculina pteripes (G. Don) O'Donell
LP,Gentiana scabra Bunge var. stenophylla Hara
LP,Isertia haenkeana DC.
LP,Chamaecrista biensis (Steyaert) Lock
LP,Erodium cicutarium (L.) L’Herit
LP,Dioscorea atropurpurea
LP,Heliotropium curassavicum L.
LP,Crassocephalum crepidioides (Benth.) S.Moore
LP,Cleome chelidonii L.f.
LP,Lemna minor L.
LP,Croton lobatus L.
LP,Pentatropis cynanchoides R.Br.
LP,Croton lachnostachyus Baill.
LP,Tarenna asiatica Gaertner
LP,Cissus quadrangularis L. var. pubescens Dewit
LP,Speranskia henryi Oliv.
LP,Conyza attenuata DC.
LP,Voacanga thonarsii Roemer et Schultes var. obtusa Pichon
LP,Acalypha ciliata Forssk.
LP,Papaver cornutum
LP,Rosa laevigata Michx.
LP,Cardamine pratensis L.
LP,Euphorbia inaequilatera Sond.
LP,Roscoea tibetica Bat.
LP,Geigeria filifolia Mattf.
LP,Astragalus heratensis Bunge
LP,Incarvillea sinensis Lam.
LP,Gossypium arboreum L.
LP,Acalypha lanceolata
LP,Pinanga manii Becc.
LP,Pinus sabiniana Douglas Ex Douglas
LP,Melocanna bambusiodes Trin.
LP,Syzygium polycephalm Merr. & Perry
LP,Kyllinga erecta
LP,Desmodium velutinum DC.
LP,Willughbeia firma
LP,Polygala hispida Burch.
LP,Vallaris solanacea (Roth.) Kuntze.
LP,Pedicularis pectinatiformis Bonati
LP,Smilax stans Maxim.
LP,Astragalus menziesii A.Gray
LP,Adenophora triphylla (Thunb.) A. Dc.
LP,Araucaria araucana (Molina) K. Koch
LP,Coronopus didymus (L.) Sm.
LP,Perilla frutescens (L.) Britt. var. purpurascens (Hayata) H.W.Li
LP,Eriocaulon buergerianum Korn.
LP,Senecio venosus Harv.
LP,Lasiocephalus ovatus Schltdl.
LP,Maba tenuinervis
LP,Cryptocarya liebertiana Engl.
LP,Goodyera biflora (Lindl.) Hook. f.
LP,Tetraclea coulteri Gray
LP,Nasturtium indicum Garsault
LP,Liriodendron chinensis (Hemsl.) Sarg.
LP,Tabebuia impetiginosa (DC.) Standley
LP,Barringtonia vriesei T. & B.
LP,Leonotis leonotis R.Brown
LP,Menthonica superba
LP,Jacaranda heterophylla Bureau & K.Schum.
LP,Lactuca indica L.
LP,Alstroemeria ligtu L.
LP,Ipomoea mestitlanica
LP,Boesenbergia pandurata (Roxb.) Schlecht.
LP,Jacquemontia paniculata
LP,Lonicera alba L.
