task_id,label,head,tail
8,has_medicinal_effect,Andrographis paniculata,anti-apoptotic
8,has_medicinal_effect,Andrographis paniculata,anti/pro-apoptotic
20,has_medicinal_effect,Nigella sativa L.,hepatoprotective
20,has_medicinal_effect,Nigella sativa L.,nephroprotective effects
34,treats_medical_condition,O. sanctum L.,asthma
34,treats_medical_condition,O. sanctum L.,bronchitis
34,treats_medical_condition,O. sanctum L.,diabetes
34,treats_medical_condition,O. sanctum L.,diarrhoea
34,treats_medical_condition,O. sanctum L.,eye disorders
34,treats_medical_condition,O. sanctum L.,chronic conjunctivitis
34,treats_medical_condition,O. sanctum L.,cataracts
34,treats_medical_condition,O. sanctum L.,glaucoma
34,treats_medical_condition,O. sanctum L.,fever
34,treats_medical_condition,O. sanctum L.,insect bites
34,treats_medical_condition,O. sanctum L.,snake bites
34,treats_medical_condition,O. sanctum L.,malaria
34,treats_medical_condition,O. sanctum L.,skin diseases
34,has_medicinal_effect,O. sanctum L.,anti-inflammatory
34,has_medicinal_effect,O. sanctum L.,adaptogenic
34,has_medicinal_effect,O. sanctum L.,antibacterial
34,has_medicinal_effect,O. sanctum L.,antifungal
34,has_medicinal_effect,O. sanctum L.,antiviral
34,has_medicinal_effect,O. sanctum L.,antidiabetic
34,has_medicinal_effect,O. sanctum L.,anticancer
34,has_medicinal_effect,O. sanctum L.,analgesic
34,has_medicinal_effect,O. sanctum L.,cardioprotective
34,has_medicinal_effect,O. sanctum L.,hepatoprotective
34,treats_medical_condition,O. tenuiflorum L.,asthma
34,treats_medical_condition,O. tenuiflorum L.,bronchitis
34,treats_medical_condition,O. tenuiflorum L.,diabetes
34,treats_medical_condition,O. tenuiflorum L.,diarrhoea
34,treats_medical_condition,O. tenuiflorum L.,eye disorders
34,has_medicinal_effect,O. tenuiflorum L.,antibacterial
34,has_medicinal_effect,O. tenuiflorum L.,antifungal
34,has_medicinal_effect,O. tenuiflorum L.,antiviral
34,has_medicinal_effect,O. tenuiflorum L.,antidiabetic
34,has_medicinal_effect,O. tenuiflorum L.,anticancer
34,has_medicinal_effect,O. tenuiflorum L.,anti-inflammatory
34,has_medicinal_effect,O. tenuiflorum L.,adaptogenic
34,has_medicinal_effect,O. tenuiflorum L.,analgesic
34,has_medicinal_effect,O. tenuiflorum L.,cardioprotective
34,has_medicinal_effect,O. tenuiflorum L.,hepatoprotective
34,has_medicinal_effect,O. sanctum L.,antifertility
34,has_medicinal_effect,O. tenuiflorum L.,antifertility
34,has_medicinal_effect,O. sanctum L.,abortive effects
34,has_medicinal_effect,O. tenuiflorum L.,abortive effects
34,treats_medical_condition,O. tenuiflorum,antifertility effects
34,treats_medical_condition,O. tenuiflorum,antifertility
34,has_medicinal_effect,O. sanctum L.,antifertility
34,has_medicinal_effect,O. tenuiflorum L.,antifertility
34,has_medicinal_effect,O. tenuiflorum,blood thinning
34,has_medicinal_effect,O. tenuiflorum,male contraceptive
44,treats_medical_condition,Olea europaea,eczema
44,treats_medical_condition,Olea europaea,Ear infections
53,has_medicinal_effect,Lycium barbarum,reduce blood sugar
53,has_medicinal_effect,Lycium barbarum,lower blood pressure
53,has_medicinal_effect,Lycium barbarum,lower blood pressure and blood sugar
53,treats_medical_condition,Lycium barbarum,diabetes
53,treats_medical_condition,Lycium barbarum,diabetes
53,has_medicinal_effect,Lycium barbarum,hypoglycemic
56,has_medicinal_effect,Stevia rebaudiana Bertoni,reduce blood sugar levels
57,treats_medical_condition,Morinda Citrifolia,cuts
57,treats_medical_condition,Morinda Citrifolia,infl ammations
57,treats_medical_condition,Morinda Citrifolia,fungal infections
57,treats_medical_condition,Morinda Citrifolia,constipation
57,treats_medical_condition,Morinda Citrifolia,diarrhoea
70,treats_medical_condition,A. sativum,eczema
70,treats_medical_condition,A. sativum,toothaches
70,treats_medical_condition,A. sativum,snake bites
100,treats_medical_condition,Strophanthus,heart attack
100,has_medicinal_effect,S. toxifera,muscle relaxant
100,has_medicinal_effect,Chondrodendron tomentosum,muscle relaxant
100,has_medicinal_effect,Strychnos spp.,muscle relaxant
100,has_medicinal_effect,Drimia maritima,diuretics
100,has_medicinal_effect,Drimia maritima,emetics
100,has_medicinal_effect,Drimia maritima,expectorants
102,has_medicinal_effect,Mandragora officinarum,sedative
102,has_medicinal_effect,Digitalis purpurea,blood pressure is increased
102,has_medicinal_effect,Digitalis purpurea,kidney functioning improves
103,treats_medical_condition,Claviceps purpurea,post-partumbleeding
103,has_medicinal_effect,Claviceps purpurea,stimulate the smooth muscle ofthe uterus
103,has_medicinal_effect,Claviceps purpurea,constricting dilated cranial bloodvessels
103,treats_medical_condition,Echinacea spp.,infections
104,treats_medical_condition,Hamamelis virginiana,BRUISES
104,treats_medical_condition,Hypericum perforatum,BURNS
104,treats_medical_condition,Hypericum perforatum,DEPRESSION
